,Image name,page_1,page_2,page_3,page_4,page_5,page_6,page_7,page_8,page_9,page_10
,Student ID,202414512,020226517,202414578,202404461,202414587,202414546,202414552,202414498,020232325,202414468
,Exam ID,101,101,101,101,102,101,102,101,102,___
Part,Question,Answers,Answers,Answers,Answers,Answers,Answers,Answers,Answers,Answers,Answers
1,1,A,A,A,A,A,A,A,A,A,A
1,2,B,B,B,B,D,B,D,B,D,B
1,3,D,D,A,D,B,A,B,D,B,A
1,4,b,A,B,B,B,B,B,A,B,D
1,5,A,A,A,A,B,A,B,A,A,D
1,6,C,B,B,C,C,B,C,B,C,C
1,7,B,B,A,A,A,A,A,A,A,A
1,8,A,D,A,A,_,C,C,D,C,C
1,9,D,C,C,D,C,C,C,A,C,C
1,10,A,A,A,A,A,A,B,A,A,A
1,11,A,B,A,A,_,B,A,A,B,A
1,12,A,D,D,D,A,D,A,D,A,C
1,13,C,D,C,C,C,C,C,C,C,C
1,14,A,C,B,A,B,A,B,A,B,C
1,15,B,A,B,B,C,B,C,B,C,D
1,16,A,B,B,B,B,B,B,B,B,B
2,1,DDSSSS,DSSSSS,DDSSSS,DDSSSS,DSDDSS,SDSDSS,DSDSSS,SDSSSS,DSDSSD,DSDsSS
2,2,SSSDSD,SSSDSD,SDSSSD,S__DSD,SDDDSS,SSSDSS,SDSsSS,D____D,SDDDSS,SDDDDS
2,3,SDDDSS,DSSDSS,DSDDSD,DSSDSS,SDDDDS,DSDSSS,DDDDDS,______,SDSDSD,SDDDDd
2,4,SSDDSD,_____D,DSDDSS,DSDDSD,SDSDSD,DSDSSS,SDSDDD,SSDSSD,SDDSSD,DDSDDS
2,5,DDSSSD,__DS__,DSDDSS,DSDDSS,DDDDSS,SSDSDS,SDDDSS,SDDDSS,DDDDSS,DDSDSS
2,6,SDDDSS,SSSD__,SDDDSS,SDDDSS,SSDSDD,SDDDSS,SDDSDD,SDDDSS,DSDDDD,DDSSDD
2,7,SSdDSD,SSDDDD,SSDSSD,SSDSSD,SSDSDD,SSDSDD,SSSSSD,SSDDDS,SSDDSD,SSDDDD
2,8,DDDD_S,______,DDDDSS,DDDDSS,DSDDdD,SSDDSS,DSDDDD,DDDDSS,DSDDDD,DDSDSD
Part 1,Correct,8,8,11,9,12,13,12,11,12,N/A
Part 2,Correct,2,1,2,1,5,2,1,0,3,N/A
Total,Points,4.166667,3.750000,5.416667,4.166667,7.083333,6.250000,5.416667,4.583333,6.250000,N/A
